number,name,sqft_per_job_factor
1,NE San Francisco,1.21208
2,NW San Francisco,1.03089
3,SE San Francisco,1.4545
4,SW San Francisco,1.69458
5,N San Mateo,0.96933
6,C San Mateo,0.91995
7,S San Mateo,0.96933
8,NW Santa Clara,0.92032
9,N Santa Clara,0.89362
10,SW Santa Clara,0.92032
11,C Santa Clara,0.8536
12,NE Santa Clara,0.9227
13,S Santa Clara,0.969
14,SE Santa Clara,1.063
15,E Alameda,1.031
16,S Aleameda,0.95
17,C Alameda,0.96867
18,N Alameda,0.90858
19,NW Alameda,0.9818
20,W Contra Costa,0.96733
21,N Contra Cosra,0.96733
22,SW Cotra Costa,0.968
23,S Contra Costa,0.96867
24,E Contra Costa,1.063
25,S Solano,1.031
26,N Solano,1.063
27,S Napa,0.96367
28,N Napa,1
29,S Sonoma,0.965
30,C Sonoma,0.96333
31,N Sonoma,0.96133
32,N Marin,1.063
33,C Marin,0.96767
34,S Marin,0.96767
