number,name,sqft_per_job_factor_2010,sqft_per_job_factor_2015,sqft_per_job_factor_2020,sqft_per_job_factor_2025,sqft_per_job_factor_2030,sqft_per_job_factor_2035,sqft_per_job_factor_2040,sqft_per_job_factor_2045,sqft_per_job_factor_2050
15,Tri Valley,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
16,Fremont,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
17,S Leandro Hayward,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
18,Oakland Alameda,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
19,Berkeley Eville,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
20,Richmond Pinole,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
21,Martinez Concord,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
22,Lamorinda WC,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
23,S Ramon Danville,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
24,East Contra Costa,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
32,Northern Marin,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
33,Central Marin,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
34,Southern Marin,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
27,Napa City and S,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
28,Napa Remainder,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
1,SF NE,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
2,SF NW,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
3,SF S SE,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
4,SF SW,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
5,Daly City Millbrae,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
6,San Mateo,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
7,Redwood City,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
8,Palo Alto,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
9,Golden Triangle,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
10,West San Jose,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
11,San Jose CBD,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
12,East San Jose,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
13,South San Jose,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
14,SE Snta Clara Cnty,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
25,Vallejo Benicia,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
26,Solano Remainder,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
29,Southern Sonoma,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
30,Santa Rosa Area,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
31,Northern Sonoma,1.0,1.0,1.0,0.9375,0.8125,0.75,0.75,0.75,0.75
