,number,name,sqft_per_job_factor
1,1,SF NE,0.5
2,2,SF NW,0.5
3,3,SF S SE,0.5
4,4,SF SW,0.5
5,5,Daly City Millbrae,0.5
6,6,San Mateo,0.5
7,7,Redwood City,0.5
8,8,Palo Alto,0.5
9,9,Golden Triangle,0.5
10,10,West San Jose,0.5
11,11,San Jose CBD,0.5
12,12,East San Jose,0.5
13,13,South San Jose,0.5
14,14,SE Snta Clara Cnty,0.5
15,15,Tri Valley,0.5
16,16,Fremont,0.5
17,17,S Leandro Hayward,0.5
18,18,Oakland Alameda,0.5
19,19,Berkeley Eville,0.5
20,20,Richmond Pinole,0.5
21,21,Martinez Concord,0.5
22,22,Lamorinda WC,0.5
23,23,S Ramon Danville,0.5
24,24,East Contra Costa,0.5
25,25,Vallejo Benicia,0.5
26,26,Solano Remainder,0.5
27,27,Napa City and S,0.5
28,28,Napa Remainder,0.5
29,29,Southern Sonoma,0.5
30,30,Santa Rosa Area,0.5
31,31,Northern Sonoma,0.5
32,32,Northern Marin,0.5
33,33,Central Marin,0.5
34,34,Southern Marin,0.5
