,number,name,sqft_per_job_factor
1,1,SF NE,1.25
2,2,SF NW,1.25
3,3,SF S SE,1.25
4,4,SF SW,1.25
5,5,Daly City Millbrae,1.25
6,6,San Mateo,1.25
7,7,Redwood City,1.25
8,8,Palo Alto,1.25
9,9,Golden Triangle,1.25
10,10,West San Jose,1.25
11,11,San Jose CBD,1.25
12,12,East San Jose,1.25
13,13,South San Jose,1.25
14,14,SE Snta Clara Cnty,1.25
15,15,Tri Valley,1.25
16,16,Fremont,1.25
17,17,S Leandro Hayward,1.25
18,18,Oakland Alameda,1.25
19,19,Berkeley Eville,1.25
20,20,Richmond Pinole,1.25
21,21,Martinez Concord,1.25
22,22,Lamorinda WC,1.25
23,23,S Ramon Danville,1.25
24,24,East Contra Costa,1.25
25,25,Vallejo Benicia,1.25
26,26,Solano Remainder,1.25
27,27,Napa City and S,1.25
28,28,Napa Remainder,1.25
29,29,Southern Sonoma,1.25
30,30,Santa Rosa Area,1.25
31,31,Northern Sonoma,1.25
32,32,Northern Marin,1.25
33,33,Central Marin,1.25
34,34,Southern Marin,1.25
