number,name,sqft_per_job_factor_2010,sqft_per_job_factor_2015,sqft_per_job_factor_2020,sqft_per_job_factor_2025,sqft_per_job_factor_2030,sqft_per_job_factor_2035,sqft_per_job_factor_2040,sqft_per_job_factor_2045,sqft_per_job_factor_2050
15,Tri Valley,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
16,Fremont,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
17,S Leandro Hayward,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
18,Oakland Alameda,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
19,Berkeley Eville,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
20,Richmond Pinole,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
21,Martinez Concord,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
22,Lamorinda WC,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
23,S Ramon Danville,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
24,East Contra Costa,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
32,Northern Marin,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
33,Central Marin,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
34,Southern Marin,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
27,Napa City and S,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
28,Napa Remainder,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
1,SF NE,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
2,SF NW,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
3,SF S SE,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
4,SF SW,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
5,Daly City Millbrae,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
6,San Mateo,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
7,Redwood City,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
8,Palo Alto,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
9,Golden Triangle,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
10,West San Jose,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
11,San Jose CBD,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
12,East San Jose,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
13,South San Jose,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
14,SE Snta Clara Cnty,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
25,Vallejo Benicia,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
26,Solano Remainder,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
29,Southern Sonoma,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
30,Santa Rosa Area,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
31,Northern Sonoma,1.0,1.0,1.0,1.0625,1.1875,1.25,1.25,1.25,1.25
