modelrun_id,modelrun_alias,jurisdiction,total_households,total_jobs,hh_growth,jobs_growth,hh_share_of_growth,jobs_share_of_growth
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Alameda,31303.6,36576.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Albany,7543.4,5068.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,American Canyon,5974.8,6580.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Antioch,34580.0,22145.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Atherton,2513.2,2407.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Belmont,10954.0,8793.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Belvedere,1021.2,324.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Benicia,10580.2,13917.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Berkeley,49640.8,124382.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Brentwood,19768.6,10246.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Brisbane,1951.4,7308.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Burlingame,13530.6,33272.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Calistoga,2052.0,1738.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Campbell,17225.2,25060.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Clayton,3943.2,2098.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Cloverdale,3573.4,2287.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Colma,843.2,4281.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Concord,45331.6,66107.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Corte Madera,4181.8,6218.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Cotati,3036.0,2936.7999999999997,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Cupertino,21894.6,40231.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Daly City,32193.0,19696.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Danville,15889.6,13056.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Dixon,5857.8,4509.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Dublin,21945.4,21525.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,East Palo Alto,7415.6,5904.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,El Cerrito,10987.2,6551.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Emeryville,7517.6,25002.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Fairfax,3425.4,1538.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Fairfield,35433.2,42215.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Foster City,12837.0,20671.399999999998,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Fremont,77310.2,96805.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Gilroy,15323.6,19601.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Half Moon Bay,4857.6,4856.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Hayward,47386.6,83025.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Healdsburg,4495.0,9438.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Hercules,8715.4,5026.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Hillsborough,3933.8,2200.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Lafayette,9563.0,10345.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Larkspur,6230.0,7809.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Livermore,30385.8,44144.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Los Altos,11464.6,15696.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Los Altos Hills,3042.2,1725.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Los Gatos,12602.8,20567.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Martinez,14726.8,25357.2,,,,
