modelrun_id,modelrun_alias,superdistrict,total_households,total_jobs,hh_growth,jobs_growth,hh_share_of_growth,jobs_share_of_growth
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,1.0,98749.4,404227.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,2.0,109761.4,111686.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,3.0,145624.2,192930.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,4.0,52757.2,31142.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,5.0,105090.2,135130.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,6.0,95151.2,115734.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,7.0,87633.0,164867.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,8.0,76723.6,174223.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,9.0,122765.8,391061.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,10.0,123834.4,142996.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,11.0,114347.0,177144.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,12.0,113303.2,114332.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,13.0,74419.8,53255.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,14.0,36818.0,47331.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,15.0,85892.4,134676.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,16.0,112605.6,142615.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,17.0,126618.8,160813.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,18.0,199187.0,289512.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,19.0,78965.8,168539.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,20.0,93809.8,83317.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,21.0,88651.4,123183.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,22.0,62575.6,84952.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,23.0,56926.6,67411.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,24.0,101159.4,54868.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,25.0,52536.8,43473.2,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,26.0,93530.2,82785.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,27.0,35222.2,46202.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,28.0,15654.0,20808.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,29.0,65877.2,70928.6,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,30.0,87324.2,112699.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,31.0,35728.2,32066.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,32.0,23012.0,27365.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,33.0,43716.8,58395.8,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,34.0,40923.0,40617.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,1.0,128382.0,533626.0,29632.600000000006,129398.59999999998,0.03161975622805458,0.09708031179472527
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,2.0,123180.0,138384.0,13418.600000000006,26697.399999999994,0.014318448631634529,0.02002952053660935
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,3.0,199090.0,278609.0,53465.79999999999,85679.0,0.05705120585226811,0.06428001565905866
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,4.0,64527.0,35292.0,11769.800000000003,4150.0,0.012559080433473839,0.003113505818054523
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,5.0,135808.0,201360.0,30717.800000000003,66229.20000000001,0.03277772952296238,0.04968795169279437
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,6.0,113741.0,151824.0,18589.800000000003,36089.600000000006,0.019836428269145775,0.02707594688464109
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,7.0,103800.0,234397.0,16167.0,69530.0,0.017251155785822318,0.05216435169381469
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,8.0,98212.0,213506.0,21488.399999999994,39282.79999999999,0.022929407805286333,0.02947162080710173
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,9.0,219159.0,627289.0,96393.2,236227.2,0.10285730870872319,0.17722765339342877
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,10.0,164112.0,206780.0,40277.600000000006,63784.0,0.042978607798542526,0.047853459059949324
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,11.0,249950.0,258309.0,135603.0,81164.20000000001,0.14469651005287706,0.060892821425961675
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,12.0,165071.0,133777.0,51767.8,19444.399999999994,0.055239338311949805,0.014588012657488998
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,13.0,95993.0,66412.0,21573.199999999997,13156.400000000001,0.02301989447632226,0.009870488661362056
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,14.0,68913.0,59626.0,32095.0,12294.199999999997,0.03424728427945613,0.009223629693572507
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,15.0,120572.0,157442.0,34679.600000000006,22765.600000000006,0.03700520703841181,0.01707971760277158
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,16.0,145877.0,182865.0,33271.399999999994,40250.0,0.035502573428119535,0.03019725522329989
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,17.0,147388.0,198546.0,20769.199999999997,37732.20000000001,0.02216197839716093,0.028308294994698047
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,18.0,244767.0,391358.0,45580.0,101845.59999999998,0.04863658568180746,0.07640888388994063
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,19.0,103929.0,208536.0,24963.199999999997,39996.399999999994,0.026637227198159186,0.030006993759333953
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,20.0,116330.0,109858.0,22520.199999999997,26541.0,0.024030400106876706,0.019912182630598817
